id,batch_index,batch_size,creature_key,loss,onset_cycle
612429,2,16,181,0.47552233934402466,1514
612434,7,16,181,2.557391881942749,1514
612433,6,16,181,0.27266618609428406,1514
612428,1,16,181,2.179625988006592,1514
612431,4,16,181,0.3596854507923126,1514
612430,3,16,181,2.339526653289795,1514
612427,0,16,181,0.6284997463226318,1514
612432,5,16,181,2.464872121810913,1514
662189,0,16,180,0.6283847689628601,1632
662192,3,16,180,2.3416149616241455,1632
662196,7,16,180,2.5590317249298096,1632
662191,2,16,180,0.4752722680568695,1632
662195,6,16,180,0.2724732458591461,1632
662190,1,16,180,2.178171396255493,1632
662194,5,16,180,2.464524745941162,1632
662193,4,16,180,0.35982027649879456,1632
678204,1,16,180,2.1785054206848145,1658
678203,0,16,180,0.6280801892280579,1658
678210,7,16,180,2.55765700340271,1658
678205,2,16,180,0.4753168225288391,1658
678208,5,16,180,2.4651739597320557,1658
678207,4,16,180,0.35994231700897217,1658
678209,6,16,180,0.2725374400615692,1658
678206,3,16,180,2.3413469791412354,1658
682859,6,16,180,0.2725324332714081,1672
682858,5,16,180,2.4651496410369873,1672
682853,0,16,180,0.6280447840690613,1672
682854,1,16,180,2.1783506870269775,1672
682860,7,16,180,2.5578503608703613,1672
682857,4,16,180,0.35993078351020813,1672
682855,2,16,180,0.4752550423145294,1672
682856,3,16,180,2.341120958328247,1672
692019,5,16,180,2.464003801345825,1699
692021,7,16,180,2.5567784309387207,1699
692018,4,16,180,0.3599737882614136,1699
692016,2,16,180,0.4754139184951782,1699
692017,3,16,180,2.341113805770874,1699
692015,1,16,180,2.178969621658325,1699
692020,6,16,180,0.2723957598209381,1699
692014,0,16,180,0.6280999779701233,1699
695573,1,16,182,2.175783634185791,1860
695572,0,16,182,0.6279697418212891,1860
695576,4,16,182,0.3595283031463623,1860
695577,5,16,182,2.4593451023101807,1860
695578,6,16,182,0.2722615599632263,1860
695575,3,16,182,2.339024543762207,1860
695579,7,16,182,2.55810546875,1860
695574,2,16,182,0.47517237067222595,1860
708250,2,16,180,0.47507068514823914,1752
708339,5,16,180,2.464703321456909,1752
708341,7,16,180,2.559910535812378,1752
708340,6,16,180,0.2724267542362213,1752
708251,3,16,180,2.340611219406128,1752
708248,0,16,180,0.6281894445419312,1752
708249,1,16,180,2.177462577819824,1752
708338,4,16,180,0.3599637448787689,1752
716290,2,16,182,0.4750836491584778,1905
716292,4,16,182,0.3596828281879425,1905
716288,0,16,182,0.6275797486305237,1905
716293,5,16,182,2.4609758853912354,1905
716295,7,16,182,2.554565906524658,1905
718232,1,16,181,2.1777265071868896,1777
718237,6,16,181,0.27226561307907104,1777
718236,5,16,181,2.4621174335479736,1777
718231,0,16,181,0.6279257535934448,1777
718234,3,16,181,2.3368992805480957,1777
718238,7,16,181,2.55465030670166,1777
718235,4,16,181,0.3595319092273712,1777
718233,2,16,181,0.47519993782043457,1777
719904,1,16,180,2.17790150642395,1789
719905,2,16,180,0.4755016565322876,1789
719903,0,16,180,0.6279430985450745,1789
719907,4,16,180,0.3596448302268982,1789
719909,6,16,180,0.27256298065185547,1789
719906,3,16,180,2.341583013534546,1789
719910,7,16,180,2.5572872161865234,1789
719908,5,16,180,2.4651293754577637,1789
721460,3,16,182,2.342175245285034,1917
721463,6,16,182,0.2720187306404114,1917
721462,5,16,182,2.46054744720459,1917
45849,5,16,180,2.4761850833892822,104
45851,7,16,180,2.5680344104766846,104
45848,4,16,180,0.3616296648979187,104
45846,2,16,180,0.4778715968132019,104
45845,1,16,180,2.190962791442871,104
45847,3,16,180,2.351907968521118,104
45850,6,16,180,0.27383047342300415,104
45844,0,16,180,0.6311301589012146,104
328205,3,16,181,2.343306303024292,813
328208,6,16,181,0.27265968918800354,813
328203,1,16,181,2.1799910068511963,813
328207,5,16,181,2.4669744968414307,813
328209,7,16,181,2.5630695819854736,813
328204,2,16,181,0.47613954544067383,813
328206,4,16,181,0.3603106141090393,813
328202,0,16,181,0.6295319199562073,813
342704,1,16,181,2.18082594871521,852
342705,2,16,181,0.47567251324653625,852
342708,5,16,181,2.468104124069214,852
342709,6,16,181,0.2728039026260376,852
342710,7,16,181,2.5613555908203125,852
342703,0,16,181,0.6291837692260742,852
342706,3,16,181,2.3445188999176025,852
342707,4,16,181,0.3602274954319,852
384723,7,16,182,2.5610127449035645,1033
384722,6,16,182,0.27269449830055237,1033
384695,0,16,182,0.6287503242492676,1033
384700,5,16,182,2.466918706893921,1033
384696,1,16,182,2.177607297897339,1033
384698,3,16,182,2.3449621200561523,1033
384699,4,16,182,0.35999298095703125,1033
384697,2,16,182,0.47569870948791504,1033
387058,5,16,180,2.464247465133667,944
387055,2,16,180,0.4758784770965576,944
